timestamp,device_id,temperature_c,current_amps,vibration_magnitude_mss
2025-09-27 08:00:00,motor_teste_C,28.83,1.68,9.71
2025-09-27 08:10:00,motor_teste_C,32.99,1.61,9.74
2025-09-27 08:20:00,motor_teste_C,31.57,1.57,9.85
2025-09-27 08:30:00,motor_teste_C,27.99,1.69,9.84
2025-09-27 08:40:00,motor_teste_C,29.84,1.73,9.72
2025-09-27 08:50:00,motor_teste_C,34.3,1.73,9.78
2025-09-27 09:00:00,motor_teste_C,26.15,1.5,9.82
2025-09-27 09:10:00,motor_teste_C,30.14,1.55,9.82
2025-09-27 09:20:00,motor_teste_C,33.53,1.43,9.72
2025-09-27 09:30:00,motor_teste_C,29.27,1.58,9.81
2025-09-27 09:40:00,motor_teste_C,29.64,1.64,9.77
2025-09-27 09:50:00,motor_teste_C,30.81,1.59,9.86
2025-09-27 10:00:00,motor_teste_C,33.98,1.79,9.79
2025-09-27 10:10:00,motor_teste_C,29.72,1.56,9.82
2025-09-27 10:20:00,motor_teste_C,30.11,1.49,9.79
2025-09-27 10:30:00,motor_teste_C,30.13,1.66,9.83
2025-09-27 10:40:00,motor_teste_C,35.41,1.61,9.76
2025-09-27 10:50:00,motor_teste_C,35.37,1.65,9.83
2025-09-27 11:00:00,motor_teste_C,33.01,1.63,9.86
2025-09-27 11:10:00,motor_teste_C,31.77,1.62,9.89
2025-09-27 11:20:00,motor_teste_C,32.47,1.39,9.88
2025-09-27 11:30:00,motor_teste_C,33.98,1.53,9.77
2025-09-27 11:40:00,motor_teste_C,29.13,1.54,9.83
2025-09-27 11:50:00,motor_teste_C,33.35,1.57,9.84
2025-09-27 12:00:00,motor_teste_C,28.49,1.56,9.83
2025-09-27 12:10:00,motor_teste_C,29.72,1.64,9.84
2025-09-27 12:20:00,motor_teste_C,32.81,1.66,9.82
2025-09-27 12:30:00,motor_teste_C,28.14,1.49,9.77
2025-09-27 12:40:00,motor_teste_C,30.72,1.67,9.81
2025-09-27 12:50:00,motor_teste_C,29.28,1.66,9.84
2025-09-27 13:00:00,motor_teste_C,30.49,1.65,9.82
2025-09-27 13:10:00,motor_teste_C,25.4,1.46,9.75
2025-09-27 13:20:00,motor_teste_C,27.46,1.64,9.76
2025-09-27 13:30:00,motor_teste_C,29.6,1.61,9.78
2025-09-27 13:40:00,motor_teste_C,32.85,1.7,9.79
2025-09-27 13:50:00,motor_teste_C,30.65,1.78,9.81
2025-09-27 14:00:00,motor_teste_C,31.01,1.76,9.75
2025-09-27 14:10:00,motor_teste_C,32.38,1.61,9.84
2025-09-27 14:20:00,motor_teste_C,29.24,1.6,9.71
2025-09-27 14:30:00,motor_teste_C,31.57,1.66,9.83
2025-09-27 14:40:00,motor_teste_C,29.39,1.49,9.83
2025-09-27 14:50:00,motor_teste_C,27.54,1.45,9.83
2025-09-27 15:00:00,motor_teste_C,30.22,1.55,9.65
2025-09-27 15:10:00,motor_teste_C,32.15,1.72,9.73
2025-09-27 15:20:00,motor_teste_C,31.68,1.57,9.78
2025-09-27 15:30:00,motor_teste_C,30.98,1.75,9.81
2025-09-27 15:40:00,motor_teste_C,35.78,1.32,9.8
2025-09-27 15:50:00,motor_teste_C,31.83,1.44,9.76
2025-09-27 16:00:00,motor_teste_C,32.96,1.59,9.86
2025-09-27 16:10:00,motor_teste_C,35.48,1.69,9.82
2025-09-27 16:20:00,motor_teste_C,28.41,1.59,9.78
2025-09-27 16:30:00,motor_teste_C,28.92,1.59,9.75
2025-09-27 16:40:00,motor_teste_C,34.49,1.59,9.8
2025-09-27 16:50:00,motor_teste_C,29.4,1.42,9.86
2025-09-27 17:00:00,motor_teste_C,31.06,1.72,9.8
2025-09-27 17:10:00,motor_teste_C,33.14,1.53,9.8
2025-09-27 17:20:00,motor_teste_C,32.78,1.71,9.8
2025-09-27 17:30:00,motor_teste_C,34.51,1.59,9.81
2025-09-27 17:40:00,motor_teste_C,33.99,1.71,9.79
2025-09-27 17:50:00,motor_teste_C,33.14,1.63,9.75
2025-09-27 18:00:00,motor_teste_C,29.45,1.59,9.88
2025-09-27 18:10:00,motor_teste_C,32.59,1.62,9.83
2025-09-27 18:20:00,motor_teste_C,31.63,1.45,9.91
2025-09-27 18:30:00,motor_teste_C,28.35,1.6,9.83
2025-09-27 18:40:00,motor_teste_C,33.83,1.77,9.79
2025-09-27 18:50:00,motor_teste_C,32.61,1.73,9.75
2025-09-27 19:00:00,motor_teste_C,31.09,1.5,9.78
2025-09-27 19:10:00,motor_teste_C,30.53,1.65,9.74
2025-09-27 19:20:00,motor_teste_C,28.6,1.62,9.91
2025-09-27 19:30:00,motor_teste_C,31.4,1.68,9.8
2025-09-27 19:40:00,motor_teste_C,31.94,1.61,9.84
2025-09-27 19:50:00,motor_teste_C,29.34,1.58,9.85
2025-09-27 20:00:00,motor_teste_C,33.32,1.73,9.85
2025-09-27 20:10:00,motor_teste_C,28.81,1.62,9.93
2025-09-27 20:20:00,motor_teste_C,26.75,1.73,9.8
2025-09-27 20:30:00,motor_teste_C,33.08,1.7,9.79
2025-09-27 20:40:00,motor_teste_C,30.19,1.57,9.81
2025-09-27 20:50:00,motor_teste_C,30.75,1.58,9.84
2025-09-27 21:00:00,motor_teste_C,29.32,1.79,9.81
2025-09-27 21:10:00,motor_teste_C,27.79,1.62,9.79
2025-09-27 21:20:00,motor_teste_C,33.51,1.52,9.77
2025-09-27 21:30:00,motor_teste_C,29.62,1.48,9.76
2025-09-27 21:40:00,motor_teste_C,34.32,1.7,9.81
2025-09-27 21:50:00,motor_teste_C,32.61,1.62,9.75
2025-09-27 22:00:00,motor_teste_C,30.37,1.52,9.71
2025-09-27 22:10:00,motor_teste_C,28.83,1.67,9.81
2025-09-27 22:20:00,motor_teste_C,29.54,1.62,9.86
2025-09-27 22:30:00,motor_teste_C,28.57,1.43,9.83
2025-09-27 22:40:00,motor_teste_C,35.17,1.66,9.8
2025-09-27 22:50:00,motor_teste_C,31.33,1.73,9.82
2025-09-27 23:00:00,motor_teste_C,33.3,1.86,9.72
2025-09-27 23:10:00,motor_teste_C,28.47,1.6,9.77
2025-09-27 23:20:00,motor_teste_C,31.36,1.62,9.88
2025-09-27 23:30:00,motor_teste_C,33.36,1.76,9.86
2025-09-27 23:40:00,motor_teste_C,30.33,1.62,9.76
2025-09-27 23:50:00,motor_teste_C,33.06,1.63,9.89
2025-09-28 00:00:00,motor_teste_C,28.83,1.54,9.76
2025-09-28 00:10:00,motor_teste_C,28.27,1.46,9.76
2025-09-28 00:20:00,motor_teste_C,31.76,1.69,9.88
2025-09-28 00:30:00,motor_teste_C,30.24,1.47,9.87
2025-09-28 00:40:00,motor_teste_C,32.28,1.71,9.77
2025-09-28 00:50:00,motor_teste_C,27.04,1.52,9.8
